"Dstat 0.7.2 CSV output",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Host:","jmue-VirtualBox",,,,"User:","jmue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cmdline:","dstat --epoch --mem --swap --sys --page --cpu -C total,0,1 --net -N total,eth0 --disk --io -D total,sda --nocolor --output kmeans_5M_prep.log 1",,,,"Date:","15 Jul 2015 21:10:36 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"epoch","memory usage",,,,"swap",,"system",,"paging",,"total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/total",,"net/eth0",,"dsk/total",,"dsk/sda",,"io/total",,"io/sda",
1436987453.495,1255821312,40169472,532180992,2318864384,0,2145382400,584,1094,0,0,47.753,28.652,22.472,1.124,0,0,71.264,13.793,14.943,0,0,0,24.176,43.956,29.67,2.198,0,0,0,0,0,0,8192,4329472,8192,4329472,2,10,2,10
1436987454.495,1265008640,40169472,532279296,2309578752,0,2145382400,812,1234,0,0,26.425,41.451,31.088,0.518,0,0.518,38.298,44.681,17.021,0,0,0,15.625,38.542,45.833,0,0,0,0,0,0,0,24576,0,24576,0,3,0,3,0
1436987455.492,1287581696,40169472,532434944,2286850048,0,2145382400,763,1203,0,0,47.668,13.99,38.342,0,0,0,78.351,16.495,5.155,0,0,0,17.172,12.121,70.707,0,0,0,0,0,0,0,102400,0,102400,0,3,0,3,0
1436987456.493,1302446080,40177664,532426752,2271985664,0,2145382400,758,1052,0,0,46.629,26.404,26.966,0,0,0,49.398,25.301,25.301,0,0,0,44.565,27.174,28.261,0,0,0,156,81,156,81,73728,110592,73728,110592,4,5,4,5
1436987457.499,1319501824,40177664,532512768,2254843904,0,2145382400,868,1134,0,0,65.482,15.228,19.289,0,0,0,71,16,13,0,0,0,59.794,14.433,25.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987458.493,1330196480,40177664,534327296,2242334720,0,2145382400,1245,1742,0,0,58.289,19.251,16.043,4.278,0,2.139,70.213,13.83,8.511,3.191,0,4.255,45.745,24.468,23.404,5.319,0,1.064,0,0,0,0,1806336,0,1806336,0,162,0,162,0
1436987459.496,1356914688,40177664,534478848,2215464960,0,2145382400,670,1191,0,0,49.746,10.152,39.594,0,0,0.508,53.125,11.458,35.417,0,0,0,47.059,9.804,43.137,0,0,0,0,0,0,0,159744,0,159744,0,12,0,12,0
1436987460.495,1366757376,40177664,534781952,2205319168,0,2145382400,971,1650,0,0,63.684,6.842,29.474,0,0,0,58.333,5.208,35.417,0,0,1.042,68.421,8.421,23.158,0,0,0,0,0,0,0,344064,0,344064,0,17,0,17,0
1436987461.497,1373802496,40189952,535257088,2197786624,0,2145382400,1283,2447,0,0,63.731,13.99,21.244,1.036,0,0,65.657,18.182,15.152,1.01,0,0,60.638,9.574,28.723,1.064,0,0,60,42,60,42,442368,110592,442368,110592,43,7,43,7
1436987462.493,1376317440,40198144,536551424,2193969152,0,2145382400,810,1830,0,0,71.839,20.115,8.046,0,0,0,74.157,21.348,4.494,0,0,0,69.412,18.824,11.765,0,0,0,0,0,0,0,16384,0,16384,0,3,0,3,0
1436987463.503,1443389440,40198144,536522752,2126925824,0,2145382400,1711,814,0,0,59.893,37.433,2.674,0,0,0,58.427,37.079,4.494,0,0,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987464.493,1461719040,40198144,558366720,2086752256,0,2145382400,1225,1308,0,0,41.53,30.055,27.869,0,0,0.546,61.111,31.111,7.778,0,0,0,23.158,29.474,47.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987465.494,1461870592,40198144,577683456,2067283968,0,2145382400,931,1679,0,0,30.857,40.571,28.571,0,0,0,33.696,60.87,5.435,0,0,0,27.16,18.519,54.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987466.494,1462628352,40198144,605806592,2038403072,0,2145382400,1003,1761,0,0,25.714,40.571,33.714,0,0,0,18.293,9.756,71.951,0,0,0,31.915,67.021,1.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987467.497,1464283136,40206336,631296000,2011250688,0,2145382400,1015,1834,0,0,26.519,37.017,33.149,0,0,3.315,37.778,40,15.556,0,0,6.667,15.556,34.444,50,0,0,0,0,0,0,0,0,30896128,0,30896128,0,71,0,71
1436987468.493,1464262656,40206336,649342976,1993224192,0,2145382400,1003,1550,0,0,33.149,33.702,30.387,0,0,2.762,38.947,49.474,6.316,0,0,5.263,27.273,15.909,56.818,0,0,0,0,0,0,0,0,50315264,0,50315264,0,116,0,116
1436987469.494,1464680448,40206336,673734656,1968414720,0,2145382400,970,1753,0,0,28.108,38.378,32.973,0,0,0.541,31.25,51.042,16.667,0,0,1.042,25,25,50,0,0,0,0,0,0,0,0,5767168,0,5767168,0,11,0,11
1436987470.494,1465638912,40206336,700514304,1940676608,0,2145382400,993,1862,0,0,29.379,38.983,31.638,0,0,0,31.765,31.765,36.471,0,0,0,27.174,45.652,27.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987471.494,1466241024,40206336,720031744,1920557056,0,2145382400,862,1831,0,0,36.872,40.782,22.346,0,0,0,35,21.25,43.75,0,0,0,38.144,56.701,5.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987472.496,1468289024,40218624,740106240,1898422272,0,2145382400,915,1592,0,0,29.834,34.254,29.834,3.315,0,2.762,27.473,35.165,30.769,1.099,0,5.495,31.522,33.696,28.261,6.522,0,0,0,0,0,0,0,18640896,0,18640896,0,41,0,41
1436987473.494,1467801600,40218624,740179968,1898835968,0,2145382400,764,1237,0,0,24,29.143,17.714,25.143,0,4,27.711,28.916,25.301,9.639,0,8.434,21.739,28.261,10.87,39.13,0,0,0,0,0,0,4096,76759040,4096,76759040,1,148,1,148
1436987474.493,1468497920,40218624,764420096,1873899520,0,2145382400,801,1383,0,0,34.737,50.526,12.632,0,0,2.105,35.789,42.105,17.895,0,0,4.211,34.021,57.732,8.247,0,0,0,0,0,0,0,0,21622784,0,21622784,0,42,0,42
1436987475.501,1469276160,40218624,766603264,1870938112,0,2145382400,790,1937,0,0,72.316,24.859,2.825,0,0,0,72.414,24.138,3.448,0,0,0,73.034,25.843,1.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987476.496,1470062592,40218624,766603264,1870151680,0,2145382400,696,1532,0,0,75,22.283,2.717,0,0,0,63.043,35.87,1.087,0,0,0,86.813,8.791,4.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987477.497,1470062592,40226816,766595072,1870151680,0,2145382400,632,3088,0,0,51.397,42.458,5.028,0.559,0,0.559,44.444,50,3.333,1.111,0,1.111,58.242,35.165,6.593,0,0,0,0,0,0,0,0,77824,0,77824,0,9,0,9
1436987478.493,1470046208,40226816,766603264,1870159872,0,2145382400,628,3237,0,0,46.409,45.856,7.735,0,0,0,36.264,56.044,7.692,0,0,0,56.667,35.556,7.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987479.493,1470046208,40226816,766603264,1870159872,0,2145382400,657,2706,0,0,57.297,37.297,5.405,0,0,0,40,50,10,0,0,0,74.194,24.731,1.075,0,0,0,90,90,90,90,0,0,0,0,0,0,0,0
1436987480.494,1470046208,40226816,766603264,1870159872,0,2145382400,571,2586,0,0,57.738,34.524,7.738,0,0,0,48.78,43.902,7.317,0,0,0,65.517,25.287,9.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987481.511,1470652416,40226816,781004800,1855152128,0,2145382400,658,3959,0,0,56.425,40.782,2.793,0,0,0,43.82,51.685,4.494,0,0,0,68.889,31.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987482.493,1471373312,40226816,809562112,1825873920,0,2145382400,660,5115,0,0,42.135,52.247,5.056,0,0,0.562,39.326,50.562,8.989,0,0,1.124,45.455,53.409,1.136,0,0,0,90,90,90,90,0,0,0,0,0,0,0,0
1436987483.511,1471983616,40235008,824442880,1810374656,0,2145382400,814,4523,0,0,51.323,42.857,2.116,0,0,3.704,50,39.583,3.125,0,0,7.292,52.632,45.263,2.105,0,0,0,90,90,90,90,0,43200512,0,43200512,0,91,0,91
1436987484.501,1472765952,40235008,863272960,1770762240,0,2145382400,811,6935,0,0,43.094,49.171,4.972,1.105,0,1.657,44.944,44.944,4.494,2.247,0,3.371,41.758,53.846,4.396,0,0,0,0,0,0,0,0,32174080,0,32174080,0,69,0,69
1436987485.494,1473290240,40235008,882278400,1751232512,0,2145382400,695,5258,0,0,38.71,55.376,5.914,0,0,0,36.559,58.065,5.376,0,0,0,40.217,53.261,6.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987486.496,1472581632,40235008,806522880,1827696640,0,2145382400,1709,3346,0,0,45.562,24.852,28.994,0,0,0.592,36.585,28.049,35.366,0,0,0,54.545,21.591,22.727,0,0,1.136,0,0,0,0,0,0,0,0,0,0,0,0
1436987487.493,1472430080,40235008,806666240,1827704832,0,2145382400,764,1639,0,0,54.706,15.294,30,0,0,0,62.651,24.096,13.253,0,0,0,45.455,7.955,46.591,0,0,0,90,90,90,90,0,0,0,0,0,0,0,0
1436987488.495,1473253376,40247296,806653952,1826881536,0,2145382400,528,908,0,0,38.312,9.091,28.571,22.727,0,1.299,15.789,5.263,53.947,21.053,0,3.947,61.538,11.538,2.564,24.359,0,0,60,42,60,42,4096,56369152,4096,56369152,1,115,1,115
1436987489.494,1472798720,40247296,806674432,1827315712,0,2145382400,515,942,0,0,53.416,8.075,37.267,0,0,1.242,15.584,9.091,72.727,0,0,2.597,87.952,7.229,4.819,0,0,0,0,0,0,0,0,40992768,0,40992768,0,79,0,79
1436987490.493,1470074880,40247296,651636736,1985077248,0,2145382400,558,1300,0,0,62.338,12.987,24.675,0,0,0,56.579,19.737,23.684,0,0,0,67.5,6.25,26.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987491.496,1470296064,40247296,651587584,1984905216,0,2145382400,622,2373,0,0,80.337,14.045,5.618,0,0,0,70.787,24.719,4.494,0,0,0,88.889,4.444,6.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987492.515,1470296064,40247296,651587584,1984905216,0,2145382400,557,2901,0,0,67.081,26.708,6.211,0,0,0,57.143,38.095,4.762,0,0,0,80,13.333,6.667,0,0,0,90,90,90,90,0,0,0,0,0,0,0,0
1436987493.508,1470296064,40247296,651587584,1984905216,0,2145382400,514,2759,0,0,67.5,23.125,8.125,0,0,1.25,56.977,33.721,9.302,0,0,0,80.822,10.959,6.849,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0
1436987494.509,1470545920,40255488,651587584,1984647168,0,2145382400,529,2611,0,0,65.089,32.544,2.367,0,0,0,54.118,42.353,3.529,0,0,0,75.904,22.892,1.205,0,0,0,0,0,0,0,0,81920,0,81920,0,7,0,7
1436987495.495,1470410752,40255488,651587584,1984782336,0,2145382400,661,2642,0,0,54.645,45.355,0,0,0,0,53.488,46.512,0,0,0,0,55.208,44.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987496.494,1470386176,40255488,678821888,1957572608,0,2145382400,571,4941,0,0,57.485,35.329,7.186,0,0,0,42.169,45.783,10.843,0,0,1.205,71.264,25.287,3.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987497.494,1470595072,40255488,709341184,1926844416,0,2145382400,692,5786,0,0,55.056,42.697,2.247,0,0,0,56.627,40.964,2.41,0,0,0,53.191,44.681,2.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987498.493,1470787584,40255488,723369984,1912623104,0,2145382400,585,2870,0,0,67.073,25.61,7.317,0,0,0,65.333,32,2.667,0,0,0,68.539,20.225,11.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987499.499,1470738432,40263680,767217664,1868816384,0,2145382400,764,8429,0,0,38.043,57.609,4.348,0,0,0,18.085,76.596,5.319,0,0,0,58.242,37.363,4.396,0,0,0,0,0,0,0,0,36864,0,36864,0,3,0,3
1436987500.495,1471627264,40263680,806580224,1828564992,0,2145382400,1775,3418,0,0,33.533,32.934,33.533,0,0,0,44.304,29.114,26.582,0,0,0,24.419,36.047,39.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987501.494,1471516672,40263680,806682624,1828573184,0,2145382400,542,1216,0,0,50.34,10.884,38.776,0,0,0,19.444,6.944,73.611,0,0,0,79.221,15.584,5.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987502.493,1471516672,40263680,806682624,1828573184,0,2145382400,464,997,0,0,45.283,5.031,49.686,0,0,0,81.538,4.615,13.846,0,0,0,20.213,5.319,74.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987503.494,1472503808,40263680,806682624,1827586048,0,2145382400,599,1009,0,0,43.75,11.932,34.659,3.977,0,5.682,79.747,6.329,2.532,0,0,11.392,14.433,16.495,61.856,7.216,0,0,0,0,0,0,0,46874624,0,46874624,0,94,0,94
1436987504.495,1472077824,40267776,806682624,1828007936,0,2145382400,785,1368,0,0,14.607,3.933,47.191,34.27,0,0,24.419,3.488,31.395,39.535,0,1.163,4.396,4.396,61.538,29.67,0,0,0,0,0,0,0,52486144,0,52486144,0,102,0,102
1436987505.494,1470652416,40271872,651595776,1984516096,0,2145382400,697,2666,0,0,49.133,20.809,17.919,12.139,0,0,50,14.103,11.538,24.359,0,0,48.421,26.316,23.158,2.105,0,0,0,0,0,0,0,16420864,0,16420864,0,33,0,33
1436987506.494,1470652416,40271872,651595776,1984516096,0,2145382400,554,2546,0,0,64.815,25.926,9.259,0,0,0,58.228,30.38,11.392,0,0,0,71.084,21.687,7.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987507.511,1470525440,40271872,651595776,1984643072,0,2145382400,501,2314,0,0,73.913,19.255,6.832,0,0,0,71.25,22.5,6.25,0,0,0,75.904,15.663,8.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987508.494,1470525440,40271872,651595776,1984643072,0,2145382400,466,3381,0,0,62.745,29.412,7.19,0,0,0.654,73.77,14.754,11.475,0,0,0,56.18,39.326,3.371,0,0,1.124,0,0,0,0,0,24576,0,24576,0,5,0,5
1436987509.493,1470554112,40280064,673398784,1962803200,0,2145382400,585,4273,0,0,62.805,30.488,6.707,0,0,0,74.324,21.622,4.054,0,0,0,52.688,38.71,8.602,0,0,0,0,0,0,0,0,57344,0,57344,0,4,0,4
1436987510.494,1470623744,40280064,709390336,1926742016,0,2145382400,638,7339,0,0,44.828,52.874,2.299,0,0,0,55.556,40.741,3.704,0,0,0,35.165,62.637,2.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987511.52,1470062592,40280064,756170752,1880522752,0,2145382400,606,8026,0,0,52.874,42.529,4.598,0,0,0,35.227,60.227,4.545,0,0,0,70.455,25,4.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987512.493,1470140416,40280064,767266816,1869348864,0,2145382400,676,3528,0,0,56.024,25.904,18.072,0,0,0,59.756,34.146,6.098,0,0,0,53.012,18.072,28.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987513.5,1471164416,40284160,806686720,1828900864,0,2145382400,2029,3804,0,0,28.235,33.529,36.471,0,0,1.765,37.037,32.099,27.16,0,0,3.704,20.225,34.831,44.944,0,0,0,0,0,0,0,0,12111872,0,12111872,0,28,0,28
1436987514.494,1471365120,40288256,806686720,1828696064,0,2145382400,707,1034,0,0,50.588,5.294,14.706,24.118,0,5.294,51.282,5.128,10.256,21.795,0,11.538,50,4.444,18.889,26.667,0,0,0,0,0,0,0,73101312,0,73101312,0,142,0,142
1436987515.495,1472036864,40292352,806690816,1828016128,0,2145382400,704,1247,0,0,52.973,18.378,9.189,17.838,0,1.622,62.921,29.213,4.494,0,0,3.371,42.857,9.184,14.286,33.673,0,0,0,0,0,0,0,30576640,0,30576640,0,60,0,60
1436987516.494,1471348736,40292352,806690816,1828704256,0,2145382400,522,1089,0,0,53.416,24.224,21.739,0,0,0.621,27.16,35.802,37.037,0,0,0,82.278,11.392,6.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987517.495,1470328832,40292352,651599872,1984815104,0,2145382400,571,2525,0,0,66.463,23.78,9.756,0,0,0,44.828,39.08,16.092,0,0,0,90.909,7.792,1.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987518.495,1470328832,40292352,651599872,1984815104,0,2145382400,578,2759,0,0,68.79,25.478,5.732,0,0,0,67.143,21.429,11.429,0,0,0,71.264,27.586,1.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987519.496,1470201856,40292352,651599872,1984942080,0,2145382400,501,2232,0,0,72.84,17.284,9.877,0,0,0,77.143,8.571,14.286,0,0,0,68.817,23.656,6.452,0,0,1.075,0,0,0,0,0,16384,0,16384,0,4,0,4
1436987520.501,1470193664,40300544,651599872,1984942080,0,2145382400,613,3304,0,0,65.854,27.439,6.098,0.61,0,0,71.795,21.795,5.128,1.282,0,0,59.302,33.721,6.977,0,0,0,0,0,0,0,0,57344,0,57344,0,4,0,4
1436987521.494,1469739008,40300544,692686848,1944309760,0,2145382400,596,6943,0,0,56.024,37.952,6.024,0,0,0,39.286,52.381,8.333,0,0,0,74.074,22.222,3.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987522.494,1469722624,40300544,709464064,1927548928,0,2145382400,557,5251,0,0,60.494,34.568,4.938,0,0,0,56.944,30.556,12.5,0,0,0,62.637,37.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987523.494,1469706240,40300544,758366208,1878663168,0,2145382400,574,8669,0,0,50.282,45.198,3.955,0,0,0.565,42.529,56.322,0,0,0,1.149,58.427,34.831,6.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987524.494,1469943808,40300544,767270912,1869520896,0,2145382400,575,3756,0,0,51.899,30.38,17.722,0,0,0,47.5,46.25,6.25,0,0,0,55.696,15.19,29.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987525.493,1470951424,40300544,806690816,1829093376,0,2145382400,1998,4319,0,0,28.313,31.325,40.361,0,0,0,37.5,20.833,41.667,0,0,0,21.277,39.362,39.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987526.496,1470943232,40308736,806690816,1829093376,0,2145382400,502,1014,0,0,46.707,4.79,47.305,0.599,0,0.599,90.411,2.74,6.849,0,0,0,12.766,6.383,79.787,1.064,0,0,0,0,0,0,0,40960,0,40960,0,4,0,4
1436987527.494,1470943232,40308736,806690816,1829093376,0,2145382400,463,1005,0,0,45.963,6.211,47.826,0,0,0,83.562,8.219,8.219,0,0,0,15.73,4.494,79.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987528.5,1470275584,40308736,651653120,1984798720,0,2145382400,564,1557,0,0,52.273,13.636,34.091,0,0,0,83.133,16.867,0,0,0,0,23.913,10.87,65.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987529.495,1470316544,40308736,651603968,1984806912,0,2145382400,502,3023,0,0,68.153,24.204,7.643,0,0,0,60.241,34.94,4.819,0,0,0,77.027,12.162,10.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987530.494,1479962624,40308736,651608064,1975156736,0,2145382400,539,3059,0,0,68.047,24.852,7.101,0,0,0,58.427,37.079,4.494,0,0,0,79.747,11.392,8.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987531.507,1479962624,40308736,651608064,1975156736,0,2145382400,534,1623,0,0,76.331,17.751,5.917,0,0,0,84.211,6.579,9.211,0,0,0,70.968,25.806,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987532.495,1480032256,40316928,651911168,1974775808,0,2145382400,534,3120,0,0,68.519,24.691,6.173,0,0,0.617,78.082,12.329,8.219,0,0,1.37,59.341,35.165,5.495,0,0,0,0,0,0,0,0,49152,0,49152,0,4,0,4
1436987533.496,1480151040,40316928,709439488,1917128704,0,2145382400,685,9283,0,0,36.957,59.239,3.804,0,0,0,41.758,52.747,5.495,0,0,0,32.609,66.304,1.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987534.493,1480146944,40316928,709443584,1917128704,0,2145382400,554,3237,0,0,69.412,25.294,5.294,0,0,0,51.648,41.758,6.593,0,0,0,90.909,5.195,3.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987535.494,1480208384,40316928,743538688,1882972160,0,2145382400,589,5851,0,0,50.857,42.286,6.857,0,0,0,37.209,50,12.791,0,0,0,63.333,35.556,1.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987536.493,1481310208,40316928,774856704,1850552320,0,2145382400,752,5860,0,0,39.13,49.457,11.413,0,0,0,40.449,56.18,3.371,0,0,0,37.5,42.708,19.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987537.498,1481670656,40325120,806703104,1818337280,0,2145382400,914,5100,0,0,31.319,50,18.132,0,0,0.549,20.225,50.562,29.213,0,0,0,42.391,48.913,7.609,0,0,1.087,0,0,0,0,0,32768,0,32768,0,2,0,2
1436987538.495,1481793536,40325120,806699008,1818218496,0,2145382400,466,942,0,0,52.469,7.407,40.123,0,0,0,54.667,8,37.333,0,0,0,50,6.818,42.045,0,0,1.136,0,0,0,0,0,0,0,0,0,0,0,0
1436987539.493,1481920512,40337408,806686720,1818091520,0,2145382400,562,889,0,0,54.268,9.756,29.268,0,0,6.707,16.667,12.821,56.41,0,0,14.103,87.356,8.046,4.598,0,0,0,0,0,0,0,8192,48447488,8192,48447488,2,97,2,97
1436987540.501,1480749056,40337408,651677696,1974272000,0,2145382400,488,994,0,0,50.909,12.121,36.364,0,0,0.606,54.795,10.959,34.247,0,0,0,48.352,13.187,38.462,0,0,0,0,0,0,0,0,9437184,0,9437184,0,18,0,18
